S.No,Molecule SMILE,PCE
122,CCCCCCCCOc1cc2c3cc(sc3c3c(c2cc1OCCCCCCCC)cc(s3)C=C(C(=O)O)C#N)c1sc(c2c1OCCO2)c1ccc(cc1)N(c1ccc(cc1)OC)c1ccc(cc1)OC,5.5
124,CCCCCCc1cc(sc1c1cnc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)c1ccc(s1)/C=C(/C(=O)O)\C#N,2.86
125,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1ncc(c2c1nsn2)c1sc(cc1CCCCCC)c1sc(c(c1)CCCCCC)/C=C(/C(=O)O)\C#N,3.84
126,CCCCCCc1cc(sc1c1cnc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)c1ccc(cc1)/C=C(/C(=O)O)\C#N,4.46
128,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1ccc(s1)c1ncc(c2c1nsn2)c1ccc(s1)c1ccc(cc1)/C=C(/C(=O)O)\C#N,1.32
129,N#C/C(=C\c1cc(c(s1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,5.87
130,N#C/C(=C\c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,5.56
131,N#C/C(=C\c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,4.97
132,c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)c1cccs1.OC(=O)C(=C)C#N,2.75
133,c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)C1(CC=CS1)C=Cc1cccs1.OC(=O)C(=C)C#N,2.73
134,c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)C=CC1(CC=CS1)C=Cc1cccs1.OC(=O)C(=C)C#N,1.7
135,N#CC(=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)C(=O)O,1.55
136,CCCCCCc1cc(sc1c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)c1ccc(c2c1nsn2)c1sc(c(c1)CCCCCC)c1ccc(cc1)C=C(C(=O)O)C#N,3.16
137,CCCCCCc1cc(sc1c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)c1ccc(c2c1nsn2)c1sc(c(c1)CCCCCC)c1ccc(s1)/C=C(/C(=O)O)\C#N,3.81
139,N#CC(=Cc1ccc(c(c1)C#C)C#Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)C(=O)O,3.26
