S.No,Molecule SMILE,PCE
52,OC(c1cccc(c1)/C/1=c/2\cc/c/3=C(\c4ccc(cc4)N(c4ccccc4)c4ccccc4)/C4=N/C(=C(\c5n([Zn]n23)c(/C(=C/2\N=C1C=C2)/c1ccc(cc1)N(c1ccccc1)c1ccccc1)cc5)/c1cccc(c1)C(=O)O)/C=C4)O,1.81
53,OC(=O)c1cccc(c1)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1ccc(cc1)N(c1ccccc1)c1ccccc1)/c1cccc(c1)C(=O)O)/c1ccc(cc1)N(c1ccccc1)c1ccccc1,3.37
54,OC(=O)c1cccc(c1)/C/1=c/2\cc/c/3=C(\c4ccc(cc4)N(c4ccccc4)c4ccccc4)/C4=N/C(=C(\c5n([Zn]n23)c(/C(=C/2\N=C1C=C2)/c1cccc(c1)C(=O)O)cc5)/c1cccc(c1)C(=O)O)/C=C4,3.72
55,OC(=O)c1ccc(cc1)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1ccc(cc1)N(c1ccccc1)c1ccccc1)/c1ccc(cc1)N(c1ccccc1)c1ccccc1)/c1ccc(cc1)N(c1ccccc1)c1ccccc1,2.88
56,OC(=O)c1ccc(cc1)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1ccc(cc1)C(=O)O)/c1ccc(cc1)N(c1ccccc1)c1ccccc1)/c1ccc(cc1)N(c1ccccc1)c1ccccc1,2.84
57,OC(=O)c1ccc(cc1)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1ccc(cc1)N(c1ccccc1)c1ccccc1)/c1ccc(cc1)C(=O)O)/c1ccc(cc1)N(c1ccccc1)c1ccccc1,4.02
58,OC(=O)c1ccc(cc1)/C/1=c/2\cc/c/3=C(/C4=N/C(=C(\c5n([Zn]n23)c(/C(=C/2\N=C1C=C2)/c1ccc(cc1)C(=O)O)cc5)/c1ccc(cc1)C(=O)O)/C=C4)\c1ccc(cc1)N(c1ccccc1)c1ccccc1,5.36
59,OC(=O)c1ccc(cc1)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1cccs1)/c1ccc(cc1)C(=O)O)/c1ccc(cc1)C(=O)O,3
60,OC(=O)c1ccc(cc1)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1cccs1)/c1cccs1)/c1ccc(cc1)C(=O)O,2.5
61,OC(=O)c1ccc(cc1)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1ccc(cc1)C(=O)O)/c1cccs1)/c1cccs1,1.8
