SMILES,Name,MW,AlogP,HBA,HBD,RB,HeavyAtomCount,ChiralCenterCount,ChiralCenterCountAllPossible,RingCount,PSA,Estate,MR,Polar
CCCCCCOc1ccc(cc1)N(c2ccc(cc2)OCCCCCC)c3ccc(-c4ccc(s4)-c5ccc(s5)/C=C(/C#N)C(=O)O)c(c3)-c6cc(N(c7ccc(cc7)OCCCCCC)c8ccc(cc8)OCCCCCC)ccc6-c9ccc(s9)-c1ccc(s1)/C=C(/C#N)C(=O)O,1209,1407.8636,25.2128,6,0,37,100,0,0,10,278.5400,215.6740,406.3828,188.8160
CCCCCCOc1ccc(cc1)N(c2ccc(cc2)OCCCCCC)c3ccc(cc3)-c4cc(c(s4)-c5ccc(s5)/C=C(/C#N)C(=O)O)-c6cc(sc6-c7ccc(s7)/C=C(/C#N)C(=O)O)-c8ccc(cc8)N(c9ccc(cc9)OCCCCCC)c1ccc(cc1)OCCCCCC,1210,1407.8636,25.2128,6,0,37,100,0,0,10,278.5400,215.6740,406.3828,188.8160
O=C(O)/C(C#N)=C\c1sc(cc1)-c2sc(cc2)-c3ccc(cc3)N(c4ccc(cc4)OCCCCCC)c5ccc(cc5)N(c6ccc(cc6)OCCCCCC)c7ccc(cc7)-c8ccc(s8)-c9ccc(s9)/C=C(/C#N)C(=O)O,1211,1131.4499,19.2450,4,0,25,80,0,0,9,260.0800,179.0060,322.1698,152.5980
O=C(O)/C(C#N)=C\c1sc(cc1)-c2sc(cc2)-c3ccc(cc3)N(c4ccc(cc4)OCCCCCC)c(cc5)cc(c56)Sc7c(N6CCCCCC)ccc(c7)N(c8ccc(cc8)OCCCCCC)c9ccc(cc9)-c1ccc(s1)-c1ccc(s1)/C=C(/C#N)C(=O)O,1212,1336.7691,23.5305,4,0,30,94,0,0,11,288.6200,203.0070,385.2540,180.1090
O=C(O)/C(C#N)=C\c1sc(cc1)-c2sc(cc2)-c3ccc(cc3)N(c4ccc(cc4)OCCCCCC)c(c5)ccc(c56)c7c(C6(CCCCCC)CCCCCC)ccc(c7)N(c8ccc(cc8)OCCCCCC)c9ccc(cc9)-c1ccc(s1)-c1ccc(s1)/C=C(/C#N)C(=O)O,1213,1387.8755,25.9280,4,0,35,99,0,0,11,260.0800,209.9240,406.0189,188.6030
O=C(O)/C(C#N)=C\c1sc(cc1)-c2sc(cc2)-c3ccc(cc3)N(c4ccc(cc4)OCCCCCC)c(c5)ccc(c56)c7c(n6CCCCCC)ccc(c7)N(c8ccc(cc8)OCCCCCC)c9ccc(cc9)-c1ccc(s1)-c1ccc(s1)/C=C(/C#N)C(=O)O,1214,1304.7041,23.0949,4,0,30,93,0,0,11,265.0100,201.1740,375.1875,177.1750
O=C(O)/C(C#N)=C\c1sc(cc1)-c2sc(cc2)-c3ccc(cc3)N(c4ccc(cc4)OCCCCCC)c5cc(C(c6ccc(cc6)OCCCCCC)c7ccc(cc7)OCCCCCC)cc(c5)N(c8ccc(cc8)OCCCCCC)c9ccc(cc9)-c1ccc(s1)-c1ccc(s1)/C=C(/C#N)C(=O)O,1215,1497.9862,26.9530,6,0,40,107,0,0,11,278.5400,228.6740,435.6274,203.5750
CCCCCCCCCCC1(CCCCCCCC)C(=[N+](c(c12)ccc(c2)C(=O)O)CCCCCC)/C=C/c(c3)cc(c4c35)C(C)(C)c6c7c(ccc6)C(C)(C)c8c(N47)c(C5(C)C)ccc8.[I-],1216,1015.2391,14.1909,0,0,24,67,0,1,8,43.5500,121.5050,278.7222,127.7820
O=C(O)/C(C#N)=C/c1sc(cc1)-c(cc2)cc(c23)N(CC(CC)CCCC)C(=O)C\3=C4\C(=O)N(CC(CC)CCCC)c(c45)cc(cc5)-c(c6)ccc(c67)N(C8C7CCC8)c9ccc(C)cc9,1217,911.2023,14.6348,3,0,17,67,0,4,9,133.1900,142.8380,270.6113,120.3630
c1cccc(c12)nc3c(n2)c4c(n3CCCC)ccc(c4)/C=C(\C#N)C(=O)O,1218,370.4039,4.6761,3,0,4,28,0,0,4,91.8000,68.0030,104.4289,48.3450
c1cccc(c12)nc3c(n2)c4c(n3CCCC)ccc(c4)-c5ccc(s5)/C=C(\C#N)C(=O)O,1219,452.5276,6.2422,3,0,5,33,0,0,5,120.0400,77.1700,125.9084,59.7030
c1cccc(c12)nc3c(n2)c4c(n3CCCC)ccc(c4)C#Cc5ccc(cc5)/C=C(\C#N)C(=O)O,1220,470.5213,6.7849,3,0,5,36,0,0,5,91.8000,84.3370,129.5651,63.8350
